"CallFailure","Complains","SubscriptionLength","ChargeAmount","SecondsofUse","Frequencyofuse","FrequencyofSMS","DistinctCalledNumbers","AgeGroup","TariffPlan","Status","Age","CustomerValue","Churn"
3,"No Complains",9,1,1487,19,0,7,"30-45","Pay as you go","active",30,60.24,"CHURN"
9,"No Complains",35,1,2905,51,171,20,"15-30","Pay as you go","active",25,902.52,"non-CHURN"
17,"No Complains",17,1,9237,177,80,42,"60-75","Pay as you go","active",55,261.21,"non-CHURN"
10,"Complains",44,0,1193,23,31,12,"45-60","Pay as you go","non-active",45,107.9,"CHURN"
26,"Complains",35,1,1015,50,21,19,"30-45","Pay as you go","active",30,126.6,"CHURN"
12,"No Complains",25,1,1470,35,21,13,"15-30","Pay as you go","active",25,162.225,"non-CHURN"
22,"No Complains",35,8,10840,98,2,40,"45-60","Pay as you go","active",45,278.45,"non-CHURN"
9,"No Complains",34,0,4118,64,0,31,"<15","Pay as you go","active",15,230.01,"non-CHURN"
9,"Complains",39,0,2353,60,40,21,"30-45","Pay as you go","non-active",30,256.52,"non-CHURN"
0,"No Complains",33,0,0,0,0,0,"15-30","Pay as you go","non-active",25,0,"CHURN"
6,"Complains",36,0,2123,49,10,18,"30-45","Pay as you go","non-active",30,126.88,"non-CHURN"
0,"Complains",6,0,1068,7,0,1,"15-30","Pay as you go","active",25,48.375,"CHURN"
1,"No Complains",35,0,1475,43,29,17,"30-45","Pay as you go","non-active",30,176.72,"non-CHURN"
6,"No Complains",38,1,11060,149,0,49,"45-60","Pay as you go","active",45,280.225,"non-CHURN"
1,"No Complains",32,0,7508,121,376,42,"15-30","Pay as you go","active",25,2035.305,"non-CHURN"
9,"No Complains",27,0,455,22,8,7,"15-30","Pay as you go","active",25,57.465,"non-CHURN"
7,"No Complains",38,0,1993,51,6,17,"30-45","Pay as you go","active",30,105.76,"non-CHURN"
10,"No Complains",39,2,11525,157,16,49,"45-60","contractual","active",45,332.05,"non-CHURN"
7,"Complains",31,0,2268,38,26,30,"30-45","Pay as you go","non-active",30,196.24,"CHURN"
2,"No Complains",35,0,11160,148,4,45,"30-45","Pay as you go","active",30,468.32,"non-CHURN"
0,"No Complains",39,0,585,16,17,11,"15-30","Pay as you go","non-active",25,103.545,"non-CHURN"
0,"No Complains",38,0,128,5,32,6,"30-45","Pay as you go","non-active",30,133.32,"non-CHURN"
6,"No Complains",40,1,2508,63,0,32,"15-30","Pay as you go","active",25,115.695,"non-CHURN"
0,"No Complains",20,0,1010,24,178,8,"15-30","contractual","active",25,847.53,"non-CHURN"
7,"No Complains",12,3,4810,52,254,16,"30-45","Pay as you go","active",30,1210.48,"non-CHURN"
3,"No Complains",36,0,3703,59,0,30,"15-30","Pay as you go","active",25,169.29,"non-CHURN"
0,"No Complains",34,0,3413,76,0,26,"15-30","Pay as you go","active",25,157.005,"non-CHURN"
10,"No Complains",38,0,4198,66,1,35,"<15","Pay as you go","active",15,240.02,"non-CHURN"
15,"No Complains",41,2,5818,104,34,25,"30-45","Pay as you go","active",30,372.88,"non-CHURN"
4,"No Complains",26,0,1568,39,30,68,"45-60","Pay as you go","active",45,115.175,"non-CHURN"
5,"No Complains",34,0,2033,48,320,18,"15-30","Pay as you go","active",25,1533.645,"non-CHURN"
1,"No Complains",14,2,2357,38,15,14,"30-45","Pay as you go","active",30,155.8,"non-CHURN"
5,"No Complains",36,0,305,6,7,2,"15-30","Pay as you go","non-active",25,45.495,"CHURN"
0,"No Complains",37,0,875,14,0,11,"15-30","Pay as you go","non-active",25,40.005,"non-CHURN"
5,"No Complains",36,0,1668,34,13,16,"30-45","Pay as you go","non-active",30,120.08,"CHURN"
12,"No Complains",41,2,14193,181,39,50,"30-45","Pay as you go","active",30,730.96,"non-CHURN"
0,"No Complains",39,0,1363,25,1,5,"45-60","Pay as you go","active",45,37.2,"non-CHURN"
0,"No Complains",31,0,2420,10,0,8,"30-45","Pay as you go","active",30,97.2,"non-CHURN"
7,"No Complains",38,1,4023,88,9,30,"30-45","Pay as you go","active",30,200.44,"non-CHURN"
6,"No Complains",33,2,6850,110,239,29,"15-30","contractual","active",25,1388.7,"non-CHURN"
8,"No Complains",39,2,6805,92,193,28,"30-45","Pay as you go","active",30,1047.88,"non-CHURN"
5,"No Complains",42,2,6500,92,194,27,"30-45","Pay as you go","active",30,1039.68,"non-CHURN"
5,"No Complains",35,1,305,6,7,2,"60-75","Pay as you go","active",55,15.165,"non-CHURN"
23,"No Complains",41,9,10435,99,9,43,"60-75","contractual","active",55,171.51,"non-CHURN"
19,"No Complains",41,2,5385,88,37,19,"30-45","Pay as you go","active",30,366.92,"non-CHURN"
0,"No Complains",31,0,7248,117,369,37,"15-30","Pay as you go","active",25,1991.925,"non-CHURN"
0,"No Complains",26,0,968,29,9,53,"45-60","Pay as you go","active",45,47.425,"non-CHURN"
15,"No Complains",40,1,4503,72,8,37,"<15","Pay as you go","active",15,295.625,"non-CHURN"
0,"Complains",8,1,1298,19,25,9,"30-45","Pay as you go","active",30,152.68,"CHURN"
29,"No Complains",36,3,15365,229,51,30,"30-45","Pay as you go","active",30,827.76,"non-CHURN"
17,"No Complains",34,1,14775,216,42,28,"15-30","Pay as you go","active",25,863.595,"non-CHURN"
26,"Complains",32,0,1080,45,12,14,"30-45","Pay as you go","non-active",30,93,"CHURN"
33,"Complains",41,0,1520,63,38,25,"30-45","Pay as you go","non-active",30,215.32,"CHURN"
0,"No Complains",18,0,1505,25,19,11,"15-30","Pay as you go","active",25,154.35,"non-CHURN"
11,"No Complains",31,1,2053,53,48,75,"60-75","Pay as you go","active",55,103.59,"non-CHURN"
0,"No Complains",23,0,0,0,10,0,"45-60","Pay as you go","non-active",45,25,"non-CHURN"
9,"No Complains",43,2,7893,135,401,49,"30-45","Pay as you go","active",30,1925.12,"non-CHURN"
0,"No Complains",36,1,93,1,2,2,"60-75","Pay as you go","active",55,4.41,"non-CHURN"
12,"Complains",40,0,2353,59,6,16,"30-45","Pay as you go","non-active",30,120.48,"non-CHURN"
3,"No Complains",40,1,4290,79,5,27,"30-45","Pay as you go","active",30,194.76,"non-CHURN"
10,"No Complains",37,0,2643,59,9,15,"30-45","Pay as you go","non-active",30,144.08,"non-CHURN"
0,"No Complains",25,0,3035,60,0,20,"30-45","Pay as you go","active",30,123.8,"non-CHURN"
0,"No Complains",29,2,6480,102,253,26,"15-30","contractual","active",25,1434.69,"non-CHURN"
7,"No Complains",38,0,13773,169,0,44,"30-45","Pay as you go","active",30,557.68,"non-CHURN"
9,"No Complains",38,2,7210,97,194,26,"30-45","Pay as you go","active",30,1068.28,"non-CHURN"
0,"No Complains",25,0,0,0,0,0,"15-30","Pay as you go","non-active",25,0,"non-CHURN"
27,"No Complains",43,4,15140,231,62,33,"30-45","Pay as you go","active",30,862.84,"non-CHURN"
22,"No Complains",23,2,9498,187,95,48,"60-75","Pay as you go","active",55,287.775,"non-CHURN"
0,"No Complains",39,0,0,0,0,0,"15-30","Pay as you go","non-active",25,0,"CHURN"
9,"No Complains",38,0,2238,54,8,17,"30-45","Pay as you go","non-active",30,123.68,"non-CHURN"
16,"No Complains",35,2,5943,96,22,21,"15-30","Pay as you go","active",25,370.755,"CHURN"
0,"No Complains",28,0,2215,37,153,15,"15-30","Pay as you go","active",25,789.84,"non-CHURN"
9,"No Complains",37,0,8515,111,123,28,"30-45","Pay as you go","active",30,837.04,"non-CHURN"
7,"No Complains",31,1,3485,71,23,29,"30-45","Pay as you go","active",30,234.24,"non-CHURN"
0,"No Complains",38,0,0,0,0,0,"15-30","Pay as you go","non-active",25,0,"CHURN"
21,"No Complains",35,7,10320,87,0,38,"45-60","contractual","active",45,260.175,"non-CHURN"
4,"No Complains",38,0,2360,39,285,18,"30-45","Pay as you go","active",30,1235.96,"non-CHURN"
10,"No Complains",34,0,1390,26,43,11,"45-60","Pay as you go","non-active",45,142.9,"non-CHURN"
0,"No Complains",25,0,1903,20,165,8,"15-30","contractual","active",25,829.035,"non-CHURN"
18,"No Complains",33,2,14655,211,36,25,"30-45","Pay as you go","active",30,738.64,"non-CHURN"
25,"No Complains",38,3,15140,225,54,32,"30-45","Pay as you go","active",30,830.6,"non-CHURN"
0,"No Complains",34,0,14470,165,118,28,"15-30","Pay as you go","active",25,1189.575,"non-CHURN"
23,"No Complains",24,3,6697,153,100,45,"15-30","contractual","active",25,758.25,"non-CHURN"
21,"No Complains",41,4,9480,130,156,47,"30-45","Pay as you go","active",30,1008.4,"non-CHURN"
4,"No Complains",38,1,3095,27,483,8,"30-45","Pay as you go","active",30,2056.88,"non-CHURN"
16,"No Complains",44,2,4035,92,47,34,"30-45","Pay as you go","active",30,353.08,"non-CHURN"
12,"No Complains",16,1,9048,177,105,44,"60-75","Pay as you go","active",55,295.875,"non-CHURN"
13,"No Complains",45,3,7065,102,208,34,"45-60","Pay as you go","active",45,699.175,"non-CHURN"
12,"No Complains",14,3,3078,49,28,17,"30-45","Pay as you go","active",30,237.08,"non-CHURN"
20,"No Complains",17,3,6993,151,106,57,"15-30","contractual","active",25,798.48,"non-CHURN"
14,"No Complains",36,2,9520,126,145,41,"30-45","Pay as you go","active",30,965.84,"non-CHURN"
28,"Complains",34,0,1145,47,7,15,"15-30","Pay as you go","non-active",25,85.14,"CHURN"
9,"No Complains",40,1,2665,45,292,20,"30-45","Pay as you go","active",30,1276.4,"non-CHURN"
0,"No Complains",33,0,710,8,5,7,"15-30","Pay as you go","non-active",25,54.81,"non-CHURN"
16,"No Complains",43,2,2838,68,376,30,"30-45","Pay as you go","active",30,1620.24,"non-CHURN"
6,"No Complains",34,0,1790,42,34,17,"30-45","Pay as you go","non-active",30,209.28,"non-CHURN"
13,"Complains",35,0,5703,92,0,20,"15-30","Pay as you go","active",25,260.775,"CHURN"
0,"No Complains",21,0,2860,52,0,19,"30-45","Pay as you go","active",30,116.48,"non-CHURN"
0,"No Complains",36,0,628,7,9,4,"45-60","Pay as you go","non-active",45,38.375,"CHURN"
14,"No Complains",38,0,2573,50,41,33,"45-60","Pay as you go","non-active",45,168.075,"CHURN"
0,"No Complains",35,0,570,8,0,9,"15-30","Pay as you go","non-active",25,26.01,"non-CHURN"
13,"No Complains",40,1,6413,102,23,17,"30-45","Pay as you go","active",30,352.6,"non-CHURN"
8,"No Complains",37,1,4920,88,3,23,"30-45","Pay as you go","active",30,212.32,"non-CHURN"
28,"No Complains",28,3,16380,238,0,81,"15-30","Pay as you go","active",25,747.81,"non-CHURN"
0,"No Complains",33,0,653,8,0,4,"30-45","Pay as you go","active",30,26.44,"non-CHURN"
11,"No Complains",39,0,6108,95,7,10,"15-30","Pay as you go","active",25,310.635,"non-CHURN"
12,"No Complains",43,1,4198,72,9,36,"<15","Pay as you go","active",15,284.35,"non-CHURN"
13,"No Complains",40,3,3265,55,313,35,"45-60","Pay as you go","active",45,865.5,"non-CHURN"
17,"No Complains",41,2,15850,191,162,34,"15-30","Pay as you go","active",25,1450.845,"non-CHURN"
8,"Complains",11,2,1793,25,7,9,"30-45","Pay as you go","active",30,100.72,"CHURN"
11,"No Complains",37,5,7385,128,310,39,"30-45","contractual","active",30,1540.52,"non-CHURN"
13,"No Complains",40,4,4000,43,511,25,"45-60","Pay as you go","active",45,1378.575,"non-CHURN"
1,"No Complains",31,0,11080,146,0,41,"30-45","Pay as you go","active",30,449.04,"non-CHURN"
0,"Complains",30,0,0,0,0,0,"45-60","Pay as you go","non-active",45,0,"CHURN"
0,"No Complains",29,0,520,10,22,2,"45-60","Pay as you go","non-active",45,68.25,"non-CHURN"
6,"No Complains",23,1,3450,65,7,21,"30-45","Pay as you go","active",30,168.6,"non-CHURN"
0,"No Complains",38,0,0,0,0,0,"15-30","Pay as you go","non-active",25,0,"non-CHURN"
23,"No Complains",33,0,955,47,16,17,"15-30","Pay as you go","non-active",25,117.09,"CHURN"
10,"No Complains",38,1,4615,74,7,17,"30-45","Pay as you go","active",30,215.56,"non-CHURN"
16,"Complains",31,0,460,40,0,12,"15-30","Pay as you go","non-active",25,22.5,"CHURN"
5,"No Complains",35,0,2148,54,352,22,"15-30","Pay as you go","active",25,1683.09,"non-CHURN"
21,"No Complains",19,2,6697,147,92,44,"15-30","contractual","active",25,721.98,"non-CHURN"
7,"No Complains",29,0,475,21,13,9,"15-30","Pay as you go","non-active",25,80.82,"non-CHURN"
8,"No Complains",39,4,6965,122,279,34,"30-45","contractual","active",30,1399.48,"non-CHURN"
13,"No Complains",38,1,6908,75,83,35,"15-30","Pay as you go","active",25,687.735,"non-CHURN"
25,"Complains",36,0,1135,55,27,22,"15-30","Pay as you go","non-active",25,175.05,"CHURN"
0,"No Complains",37,0,613,9,21,17,"15-30","Pay as you go","non-active",25,122.49,"non-CHURN"
0,"No Complains",34,0,1875,37,147,6,"15-30","Pay as you go","active",25,747.54,"non-CHURN"
0,"No Complains",35,0,2435,17,0,16,"30-45","Pay as you go","active",30,98.08,"non-CHURN"
3,"No Complains",9,1,1488,19,0,7,"30-45","Pay as you go","active",30,60.28,"CHURN"
9,"No Complains",38,1,4213,89,18,33,"30-45","Pay as you go","active",30,244.08,"non-CHURN"
15,"No Complains",41,3,11830,163,23,51,"45-60","Pay as you go","active",45,357.325,"non-CHURN"
3,"No Complains",31,0,6458,65,93,31,"15-30","Pay as you go","active",25,712.035,"non-CHURN"
21,"No Complains",40,3,14915,221,57,34,"30-45","Pay as you go","active",30,833.44,"non-CHURN"
0,"No Complains",31,0,0,0,0,0,"15-30","Pay as you go","non-active",25,0,"CHURN"
12,"No Complains",38,0,4388,67,10,38,"<15","Pay as you go","active",15,300.025,"non-CHURN"
7,"No Complains",34,1,4560,79,7,21,"30-45","Pay as you go","active",30,213.56,"non-CHURN"
7,"No Complains",36,0,4138,63,0,33,"<15","Pay as you go","active",15,231.055,"non-CHURN"
13,"No Complains",43,2,3085,65,190,26,"30-45","Pay as you go","active",30,886,"non-CHURN"
13,"No Complains",37,2,9115,121,144,43,"30-45","Pay as you go","active",30,945.44,"non-CHURN"
4,"No Complains",36,0,2535,50,173,23,"15-30","Pay as you go","active",25,894.825,"non-CHURN"
7,"No Complains",35,1,7733,131,381,41,"30-45","Pay as you go","active",30,1838.56,"non-CHURN"
5,"No Complains",19,0,965,22,4,7,"15-30","Pay as you go","active",25,62.415,"non-CHURN"
0,"No Complains",35,0,1940,27,246,12,"30-45","Pay as you go","active",30,1062.68,"non-CHURN"
2,"No Complains",33,0,7428,125,374,39,"15-30","Pay as you go","active",25,2022.885,"non-CHURN"
0,"Complains",38,0,403,3,12,6,"45-60","Pay as you go","non-active",45,40.15,"CHURN"
28,"No Complains",38,9,10930,100,17,47,"60-75","Pay as you go","active",55,190.95,"non-CHURN"
10,"No Complains",40,2,4083,91,14,32,"30-45","Pay as you go","active",30,222.96,"non-CHURN"
6,"No Complains",35,2,6845,100,19,24,"60-75","Pay as you go","active",55,132.675,"non-CHURN"
15,"No Complains",42,3,9115,127,152,44,"30-45","Pay as you go","active",30,977.68,"non-CHURN"
4,"No Complains",28,0,3405,69,19,28,"30-45","Pay as you go","active",30,214.96,"non-CHURN"
6,"No Complains",27,0,1535,21,29,3,"45-60","Pay as you go","non-active",45,111.4,"non-CHURN"
0,"No Complains",36,0,0,0,0,0,"45-60","Pay as you go","non-active",45,0,"CHURN"
11,"No Complains",36,1,13998,173,7,42,"30-45","Pay as you go","active",30,594.84,"non-CHURN"
9,"No Complains",13,0,8873,168,68,38,"45-60","Pay as you go","active",45,396.025,"non-CHURN"
20,"No Complains",39,3,9610,128,160,48,"30-45","Pay as you go","active",30,1029.52,"non-CHURN"
9,"No Complains",38,2,3205,31,12,18,"30-45","Pay as you go","active",30,177.44,"non-CHURN"
4,"No Complains",36,0,1743,49,334,24,"15-30","Pay as you go","active",25,1583.64,"non-CHURN"
10,"No Complains",39,0,3070,43,19,20,"30-45","Pay as you go","non-active",30,200.52,"CHURN"
13,"No Complains",36,1,5818,98,26,24,"15-30","Pay as you go","active",25,383.22,"CHURN"
0,"No Complains",37,0,0,0,0,0,"15-30","Pay as you go","non-active",25,0,"CHURN"
0,"No Complains",36,0,1488,42,0,16,"<15","Pay as you go","active",15,84.15,"non-CHURN"
3,"No Complains",40,0,13548,165,3,46,"30-45","Pay as you go","active",30,560.52,"non-CHURN"
2,"No Complains",39,0,1988,53,0,35,"15-30","Pay as you go","active",25,91.845,"non-CHURN"
13,"No Complains",15,0,6333,138,80,40,"<15","contractual","active",15,795.905,"non-CHURN"
8,"No Complains",22,0,1045,24,8,8,"15-30","Pay as you go","active",25,84.105,"non-CHURN"
8,"No Complains",40,2,498,11,12,6,"30-45","Pay as you go","active",30,68.36,"CHURN"
13,"No Complains",39,4,7450,130,289,40,"30-45","contractual","active",30,1459.2,"non-CHURN"
15,"No Complains",44,3,7023,87,123,40,"30-45","Pay as you go","active",30,776.4,"non-CHURN"
19,"No Complains",38,3,9825,132,152,43,"30-45","Pay as you go","active",30,1006.28,"non-CHURN"
5,"No Complains",37,0,7698,128,393,46,"15-30","Pay as you go","active",25,2120.67,"non-CHURN"
12,"No Complains",39,2,2683,42,15,8,"45-60","Pay as you go","active",45,105.625,"non-CHURN"
15,"No Complains",25,0,925,29,7,5,"30-45","Pay as you go","non-active",30,66.16,"non-CHURN"
0,"No Complains",35,0,10970,147,0,42,"30-45","Pay as you go","active",30,444.68,"non-CHURN"
6,"No Complains",26,1,1813,42,32,68,"45-60","Pay as you go","active",45,126.375,"non-CHURN"
0,"No Complains",33,0,1170,37,22,15,"30-45","Pay as you go","non-active",30,136.28,"non-CHURN"
20,"No Complains",15,1,6618,145,82,40,"15-30","contractual","active",25,673.335,"non-CHURN"
8,"No Complains",38,2,2960,49,306,33,"30-45","Pay as you go","active",30,1344.36,"non-CHURN"
13,"No Complains",24,1,1350,30,15,10,"15-30","Pay as you go","active",25,129.6,"non-CHURN"
6,"No Complains",42,1,1928,35,15,12,"45-60","Pay as you go","active",45,86.575,"non-CHURN"
6,"No Complains",35,2,6900,102,12,21,"60-75","Pay as you go","active",55,123.03,"non-CHURN"
0,"No Complains",36,0,2600,20,467,3,"30-45","Pay as you go","active",30,1972.8,"non-CHURN"
0,"No Complains",34,0,0,0,0,0,"45-60","Pay as you go","non-active",45,0,"CHURN"
5,"No Complains",5,1,4435,36,207,6,"30-45","Pay as you go","active",30,1006.84,"non-CHURN"
3,"No Complains",29,1,3305,63,18,27,"30-45","Pay as you go","active",30,206.72,"non-CHURN"
14,"Complains",37,0,3295,47,16,18,"30-45","Pay as you go","non-active",30,197.68,"CHURN"
0,"No Complains",31,0,490,6,0,5,"15-30","Pay as you go","non-active",25,22.32,"non-CHURN"
5,"No Complains",30,1,1648,41,40,72,"45-60","Pay as you go","active",45,142.225,"non-CHURN"
8,"No Complains",41,1,6673,79,116,41,"15-30","Pay as you go","active",25,825.84,"non-CHURN"
0,"No Complains",6,1,4210,32,204,5,"30-45","Pay as you go","active",30,985.68,"non-CHURN"
18,"No Complains",37,7,10310,95,5,45,"45-60","contractual","active",45,272.625,"non-CHURN"
7,"No Complains",41,1,11420,158,19,51,"45-60","Pay as you go","active",45,336.95,"non-CHURN"
14,"Complains",39,0,2688,56,73,37,"45-60","Pay as you go","non-active",45,251.1,"CHURN"
25,"No Complains",39,4,15255,231,86,36,"30-45","Pay as you go","active",30,963.44,"non-CHURN"
0,"No Complains",36,0,760,8,0,7,"15-30","Pay as you go","non-active",25,34.56,"non-CHURN"
0,"No Complains",36,0,0,0,1,0,"15-30","Pay as you go","non-active",25,4.5,"CHURN"
9,"No Complains",37,0,2383,50,66,35,"45-60","Pay as you go","non-active",45,225.825,"CHURN"
0,"No Complains",21,0,1055,26,178,5,"15-30","contractual","active",25,849.645,"non-CHURN"
7,"No Complains",35,1,3550,33,8,14,"30-45","Pay as you go","active",30,175.32,"non-CHURN"
9,"No Complains",37,1,11655,155,20,50,"45-60","Pay as you go","active",45,345.25,"non-CHURN"
5,"No Complains",40,1,6680,94,197,31,"30-45","Pay as you go","active",30,1058.96,"non-CHURN"
7,"No Complains",20,1,2000,32,35,16,"30-45","Pay as you go","active",30,221.28,"non-CHURN"
0,"No Complains",33,0,0,0,0,0,"30-45","Pay as you go","non-active",30,0,"CHURN"
8,"No Complains",34,0,5513,92,19,22,"15-30","Pay as you go","active",25,337.725,"CHURN"
14,"No Complains",40,0,2543,60,15,19,"30-45","Pay as you go","non-active",30,164.12,"non-CHURN"
16,"No Complains",34,7,10130,87,0,40,"45-60","Pay as you go","active",45,255.425,"non-CHURN"
11,"No Complains",39,0,1643,24,24,6,"45-60","Pay as you go","non-active",45,101.675,"CHURN"
10,"No Complains",34,0,5758,95,21,22,"15-30","Pay as you go","active",25,357.885,"CHURN"
1,"Complains",40,0,708,9,19,8,"45-60","Pay as you go","non-active",45,65.425,"CHURN"
8,"No Complains",33,0,4198,60,0,34,"<15","Pay as you go","active",15,234.19,"non-CHURN"
12,"No Complains",34,0,15790,182,149,31,"15-30","Pay as you go","active",25,1389.24,"non-CHURN"
0,"No Complains",34,0,4150,74,0,21,"30-45","Pay as you go","active",30,168.96,"non-CHURN"
0,"No Complains",37,0,2170,39,310,20,"30-45","Pay as you go","active",30,1328.36,"non-CHURN"
15,"No Complains",40,1,4503,72,8,37,"<15","Pay as you go","active",15,295.625,"non-CHURN"
3,"No Complains",36,0,5858,92,2,10,"15-30","Pay as you go","active",25,276.75,"non-CHURN"
10,"No Complains",35,1,4820,83,1,26,"30-45","Pay as you go","active",30,200.12,"non-CHURN"
10,"No Complains",26,1,1340,38,51,17,"15-30","Pay as you go","active",25,291.51,"non-CHURN"
4,"No Complains",20,0,395,13,0,4,"15-30","Pay as you go","non-active",25,18.36,"non-CHURN"
0,"Complains",34,0,323,1,2,2,"45-60","Pay as you go","non-active",45,13.1,"CHURN"
17,"No Complains",39,1,2948,67,375,29,"30-45","Pay as you go","active",30,1620.6,"non-CHURN"
