"CallFailure","Complains","SubscriptionLength","ChargeAmount","SecondsofUse","Frequencyofuse","FrequencyofSMS","DistinctCalledNumbers","AgeGroup","TariffPlan","Status","Age","CustomerValue","Churn"
0,"No Complains",36,0,133,2,0,2,"30-45","Pay as you go","non-active",30,5.4,"CHURN"
1,"No Complains",36,0,1668,25,0,6,"30-45","Pay as you go","active",30,67.72,"non-CHURN"
3,"No Complains",33,1,6785,97,14,22,"60-75","Pay as you go","active",55,124.23,"non-CHURN"
0,"Complains",36,0,628,7,9,4,"45-60","Pay as you go","non-active",45,38.375,"CHURN"
0,"No Complains",36,1,338,4,4,2,"60-75","Pay as you go","active",55,11.13,"non-CHURN"
25,"No Complains",31,3,16075,238,0,80,"15-30","contractual","active",25,734.085,"non-CHURN"
6,"No Complains",34,3,6965,116,271,33,"15-30","contractual","active",25,1538.145,"non-CHURN"
2,"No Complains",36,0,3718,82,2,28,"15-30","Pay as you go","active",25,180,"non-CHURN"
3,"No Complains",35,0,1665,44,38,20,"30-45","Pay as you go","non-active",30,220.36,"non-CHURN"
6,"No Complains",36,0,2780,53,175,23,"15-30","Pay as you go","active",25,914.985,"non-CHURN"
4,"No Complains",27,1,1315,36,193,11,"15-30","contractual","active",25,929.295,"non-CHURN"
4,"No Complains",26,0,1568,39,30,68,"45-60","Pay as you go","active",45,115.175,"non-CHURN"
11,"No Complains",27,0,700,25,10,7,"15-30","Pay as you go","non-active",25,77.625,"non-CHURN"
0,"No Complains",26,0,825,10,21,3,"45-60","Pay as you go","non-active",45,73.375,"CHURN"
10,"No Complains",25,0,1225,32,19,13,"15-30","Pay as you go","active",25,142.065,"non-CHURN"
2,"No Complains",25,0,3225,61,8,23,"30-45","Pay as you go","active",30,163.44,"non-CHURN"
2,"No Complains",18,0,1695,26,28,14,"15-30","Pay as you go","active",25,203.445,"non-CHURN"
16,"No Complains",17,1,6393,141,85,42,"15-30","contractual","active",25,676.53,"non-CHURN"
12,"No Complains",15,0,8933,171,73,40,"45-60","Pay as you go","active",45,410.1,"non-CHURN"
8,"No Complains",16,3,2853,45,31,19,"30-45","contractual","active",30,239.92,"non-CHURN"
2,"No Complains",9,1,4390,40,215,10,"30-45","Pay as you go","active",30,1037.2,"non-CHURN"
3,"No Complains",9,1,1488,19,0,7,"30-45","Pay as you go","active",30,60.28,"CHURN"
11,"No Complains",40,1,4430,74,10,19,"30-45","Pay as you go","active",30,220.16,"non-CHURN"
3,"No Complains",41,1,378,8,12,6,"30-45","Pay as you go","active",30,63.44,"non-CHURN"
13,"No Complains",39,1,2513,63,364,26,"30-45","Pay as you go","active",30,1559.04,"non-CHURN"
13,"No Complains",40,1,4258,69,6,37,"<15","Pay as you go","active",15,270.985,"non-CHURN"
6,"No Complains",40,1,2453,61,7,35,"15-30","Pay as you go","active",25,144.63,"non-CHURN"
14,"No Complains",40,2,3835,85,37,30,"30-45","contractual","active",30,304.8,"non-CHURN"
7,"No Complains",40,1,2420,42,290,20,"30-45","Pay as you go","active",30,1258.48,"non-CHURN"
16,"No Complains",39,3,9175,124,149,45,"30-45","Pay as you go","active",30,967.96,"non-CHURN"
10,"No Complains",40,1,13833,172,5,46,"30-45","Pay as you go","active",30,580.2,"non-CHURN"
10,"No Complains",40,2,4575,86,7,27,"30-45","Pay as you go","active",30,214.44,"non-CHURN"
9,"No Complains",40,1,5978,98,12,14,"30-45","Pay as you go","active",30,291.04,"non-CHURN"
12,"No Complains",40,1,2298,57,13,19,"30-45","Pay as you go","active",30,146.2,"non-CHURN"
28,"No Complains",40,4,15200,228,59,34,"30-45","Pay as you go","active",30,853.12,"non-CHURN"
7,"No Complains",40,2,3155,30,488,10,"30-45","Pay as you go","active",30,2079.4,"non-CHURN"
12,"No Complains",39,1,15545,185,155,32,"15-30","Pay as you go","active",25,1405.35,"non-CHURN"
6,"No Complains",39,2,6560,89,191,28,"30-45","Pay as you go","active",30,1029.96,"non-CHURN"
3,"No Complains",39,1,935,17,5,13,"15-30","Pay as you go","active",25,65.34,"non-CHURN"
5,"No Complains",40,1,770,17,18,10,"30-45","Pay as you go","active",30,103.48,"non-CHURN"
3,"Complains",39,1,60,3,5,2,"15-30","Pay as you go","active",25,25.335,"CHURN"
6,"No Complains",39,1,7568,130,389,45,"30-45","Pay as you go","active",30,1863.92,"non-CHURN"
10,"No Complains",39,2,11525,157,16,49,"45-60","contractual","active",45,332.05,"non-CHURN"
11,"No Complains",39,2,6778,78,113,39,"15-30","Pay as you go","active",25,817.02,"non-CHURN"
26,"Complains",35,1,1015,50,21,19,"30-45","Pay as you go","active",30,126.6,"CHURN"
24,"Complains",38,9,10495,96,6,44,"60-75","contractual","active",55,167.865,"non-CHURN"
16,"No Complains",38,2,5878,101,31,26,"15-30","Pay as you go","active",25,408.555,"non-CHURN"
4,"No Complains",36,1,2900,25,5,16,"30-45","Pay as you go","active",30,137,"non-CHURN"
12,"No Complains",37,1,3050,44,14,18,"30-45","Pay as you go","active",30,179.76,"CHURN"
12,"Complains",38,1,2328,47,39,33,"30-45","Pay as you go","active",30,251,"CHURN"
3,"No Complains",38,1,193,5,5,4,"30-45","Pay as you go","active",30,27.92,"CHURN"
4,"No Complains",38,1,1728,28,5,8,"45-60","Pay as you go","active",45,56.4,"non-CHURN"
6,"No Complains",35,2,6845,100,19,24,"60-75","Pay as you go","active",55,132.675,"non-CHURN"
3,"No Complains",38,1,688,10,14,6,"45-60","Pay as you go","active",45,52.45,"CHURN"
3,"No Complains",38,2,398,7,9,4,"60-75","Pay as you go","active",55,19.575,"non-CHURN"
28,"No Complains",33,4,16135,241,5,82,"15-30","Pay as you go","active",25,759.42,"non-CHURN"
9,"Complains",36,4,7025,119,276,35,"30-45","contractual","active",30,1389.76,"non-CHURN"
5,"No Complains",38,1,3778,85,7,30,"30-45","Pay as you go","active",30,182.52,"non-CHURN"
6,"No Complains",37,1,1725,47,43,22,"30-45","Pay as you go","active",30,242.88,"non-CHURN"
9,"No Complains",38,1,2840,56,180,25,"15-30","Pay as you go","active",25,940.32,"non-CHURN"
7,"No Complains",29,2,1375,39,198,13,"30-45","contractual","active",30,848.56,"non-CHURN"
7,"No Complains",28,1,1628,42,35,70,"45-60","Pay as you go","active",45,129.25,"non-CHURN"
14,"No Complains",29,1,760,28,15,9,"30-45","Pay as you go","active",30,91.52,"non-CHURN"
3,"No Complains",28,1,885,13,26,5,"45-60","Pay as you go","active",45,87.45,"non-CHURN"
13,"No Complains",27,1,1285,35,24,15,"15-30","Pay as you go","active",25,167.4,"non-CHURN"
5,"No Complains",27,1,3285,64,13,25,"30-45","Pay as you go","active",30,185.96,"non-CHURN"
5,"No Complains",20,1,1755,29,33,16,"15-30","Pay as you go","active",25,228.78,"non-CHURN"
19,"No Complains",19,2,6453,144,90,44,"15-30","contractual","active",25,701.865,"non-CHURN"
15,"No Complains",17,1,8993,174,78,42,"60-75","Pay as you go","active",55,254.505,"non-CHURN"
11,"No Complains",18,4,2913,48,36,21,"30-45","Pay as you go","active",30,262.44,"non-CHURN"
5,"No Complains",11,2,4450,43,220,12,"30-45","Pay as you go","active",30,1059.72,"non-CHURN"
6,"Complains",11,2,1548,22,5,9,"30-45","Pay as you go","active",30,82.8,"CHURN"
5,"No Complains",36,0,4310,68,0,15,"15-30","Pay as you go","active",25,197.01,"non-CHURN"
0,"No Complains",37,0,258,2,2,2,"15-30","Pay as you go","non-active",25,20.7,"non-CHURN"
7,"No Complains",35,0,2393,57,354,22,"15-30","Pay as you go","active",25,1703.25,"non-CHURN"
7,"No Complains",36,0,4138,63,0,33,"<15","Pay as you go","active",15,231.055,"non-CHURN"
0,"No Complains",36,0,2333,55,0,31,"<15","Pay as you go","active",15,131.34,"non-CHURN"
8,"No Complains",36,0,3715,79,27,26,"30-45","Pay as you go","active",30,259.76,"non-CHURN"
1,"No Complains",36,0,2300,36,280,16,"30-45","Pay as you go","active",30,1213.44,"non-CHURN"
10,"No Complains",35,1,9055,118,139,41,"30-45","Pay as you go","active",30,922.92,"non-CHURN"
4,"No Complains",36,0,13713,166,0,42,"30-45","Pay as you go","active",30,555.16,"non-CHURN"
4,"No Complains",36,0,4455,80,0,23,"30-45","Pay as you go","active",30,181.4,"non-CHURN"
3,"No Complains",36,0,5858,92,2,10,"15-30","Pay as you go","active",25,276.75,"non-CHURN"
6,"Complains",36,0,2178,51,3,15,"30-45","Pay as you go","non-active",30,101.16,"non-CHURN"
22,"No Complains",36,2,15080,222,49,30,"30-45","Pay as you go","active",30,808.08,"non-CHURN"
1,"No Complains",36,0,3035,24,478,6,"30-45","Pay as you go","active",30,2034.36,"non-CHURN"
6,"No Complains",35,0,15425,179,145,28,"15-30","Pay as you go","active",25,1354.68,"non-CHURN"
0,"No Complains",35,0,6440,83,181,24,"30-45","Pay as you go","active",30,984.92,"non-CHURN"
0,"No Complains",35,0,815,11,0,9,"15-30","Pay as you go","non-active",25,37.17,"non-CHURN"
0,"No Complains",36,0,650,11,8,6,"15-30","Pay as you go","non-active",25,65.745,"non-CHURN"
0,"No Complains",35,0,0,0,0,0,"15-30","Pay as you go","non-active",25,0,"CHURN"
0,"No Complains",35,0,7448,124,379,41,"15-30","Pay as you go","active",25,2046.24,"non-CHURN"
4,"No Complains",35,0,11405,151,6,45,"30-45","Pay as you go","active",30,486.24,"non-CHURN"
5,"No Complains",35,0,6658,72,103,35,"15-30","Pay as you go","active",25,766.35,"non-CHURN"
20,"No Complains",31,0,895,44,11,15,"15-30","Pay as you go","non-active",25,91.755,"CHURN"
18,"No Complains",34,7,10375,90,0,40,"45-60","Pay as you go","active",45,261.625,"non-CHURN"
10,"No Complains",34,0,5758,95,21,22,"15-30","Pay as you go","active",25,357.885,"CHURN"
0,"No Complains",32,0,2780,19,0,12,"30-45","Pay as you go","active",30,111.96,"non-CHURN"
6,"No Complains",33,0,2930,38,4,14,"15-30","Pay as you go","non-active",25,151.56,"CHURN"
6,"Complains",34,0,2208,41,29,29,"30-45","Pay as you go","non-active",30,205.96,"CHURN"
0,"Complains",34,0,0,0,0,0,"30-45","Pay as you go","non-active",30,0,"CHURN"
0,"No Complains",34,0,1608,22,0,4,"30-45","Pay as you go","active",30,65.2,"non-CHURN"
0,"No Complains",31,0,6725,94,9,20,"45-60","Pay as you go","active",45,192.975,"non-CHURN"
0,"No Complains",34,0,568,4,4,2,"45-60","Pay as you go","non-active",45,24.3,"CHURN"
0,"No Complains",34,0,0,0,0,0,"60-75","Pay as you go","active",55,0,"non-CHURN"
22,"No Complains",29,2,16015,235,0,78,"15-30","Pay as you go","active",25,731.25,"non-CHURN"
3,"No Complains",32,2,6905,113,266,31,"15-30","contractual","active",25,1512.81,"non-CHURN"
0,"No Complains",34,0,3658,79,0,26,"15-30","Pay as you go","active",25,168.165,"non-CHURN"
0,"No Complains",33,0,1605,41,33,18,"30-45","Pay as you go","non-active",30,197.84,"non-CHURN"
3,"No Complains",34,0,2720,50,170,21,"15-30","Pay as you go","active",25,889.65,"non-CHURN"
1,"No Complains",25,0,1255,33,188,9,"15-30","contractual","active",25,903.96,"non-CHURN"
1,"No Complains",24,0,1508,36,25,66,"45-60","Pay as you go","active",45,101.1,"non-CHURN"
8,"No Complains",25,0,640,22,5,5,"15-30","Pay as you go","non-active",25,52.29,"non-CHURN"
0,"Complains",24,0,765,7,16,1,"45-60","Pay as you go","non-active",45,59.3,"CHURN"
7,"No Complains",23,0,1165,29,14,11,"15-30","Pay as you go","active",25,116.73,"non-CHURN"
0,"No Complains",23,0,3165,58,3,21,"30-45","Pay as you go","active",30,140.92,"non-CHURN"
0,"No Complains",16,0,1635,23,23,12,"15-30","Pay as you go","active",25,178.11,"non-CHURN"
13,"No Complains",15,0,6333,138,80,40,"<15","contractual","active",15,795.905,"non-CHURN"
9,"No Complains",13,0,8873,168,68,38,"45-60","Pay as you go","active",45,396.025,"non-CHURN"
5,"No Complains",14,2,2793,42,26,17,"30-45","Pay as you go","active",30,217.4,"non-CHURN"
0,"No Complains",7,0,4330,37,210,8,"30-45","Pay as you go","active",30,1014.68,"non-CHURN"
0,"No Complains",7,0,1428,16,0,5,"30-45","Pay as you go","active",30,57.76,"CHURN"
9,"No Complains",42,1,4450,73,15,21,"30-45","Pay as you go","active",30,240.92,"non-CHURN"
1,"Complains",43,0,398,7,17,8,"30-45","Pay as you go","non-active",30,84.2,"CHURN"
11,"No Complains",41,1,2533,62,369,28,"30-45","Pay as you go","active",30,1579.8,"non-CHURN"
11,"No Complains",42,1,4278,68,11,39,"<15","Pay as you go","active",15,299.53,"non-CHURN"
4,"No Complains",42,1,2473,60,12,37,"15-30","Pay as you go","active",25,167.985,"non-CHURN"
12,"No Complains",42,2,3855,84,42,32,"30-45","Pay as you go","active",30,325.56,"non-CHURN"
5,"No Complains",42,1,2440,41,295,22,"30-45","Pay as you go","active",30,1279.24,"non-CHURN"
14,"No Complains",41,3,9195,123,154,47,"30-45","Pay as you go","active",30,988.72,"non-CHURN"
8,"No Complains",42,1,13853,171,10,48,"30-45","Pay as you go","active",30,600.96,"non-CHURN"
8,"No Complains",42,2,4595,85,12,29,"30-45","Pay as you go","active",30,235.2,"non-CHURN"
7,"No Complains",42,1,5998,97,17,16,"30-45","Pay as you go","active",30,311.8,"non-CHURN"
10,"No Complains",42,0,2318,56,18,21,"30-45","Pay as you go","non-active",30,166.96,"non-CHURN"
26,"No Complains",42,4,15220,227,64,36,"30-45","contractual","active",30,873.88,"non-CHURN"
5,"No Complains",42,2,3175,29,493,12,"30-45","Pay as you go","active",30,2100.16,"non-CHURN"
10,"No Complains",41,1,15565,184,160,34,"15-30","Pay as you go","active",25,1428.705,"non-CHURN"
4,"No Complains",41,2,6580,88,196,30,"30-45","Pay as you go","active",30,1050.72,"non-CHURN"
1,"No Complains",41,0,955,16,10,15,"15-30","Pay as you go","non-active",25,88.695,"non-CHURN"
3,"No Complains",42,0,790,16,23,12,"30-45","Pay as you go","non-active",30,124.24,"non-CHURN"
1,"No Complains",41,0,80,2,10,4,"15-30","Pay as you go","non-active",25,48.69,"CHURN"
4,"No Complains",41,1,7588,129,394,47,"30-45","Pay as you go","active",30,1884.68,"non-CHURN"
8,"No Complains",41,2,11545,156,21,51,"45-60","Pay as you go","active",45,345.025,"non-CHURN"
9,"No Complains",41,2,6798,77,118,41,"15-30","Pay as you go","active",25,840.375,"non-CHURN"
24,"Complains",37,0,1035,49,26,21,"30-45","Pay as you go","non-active",30,147.36,"CHURN"
22,"Complains",40,9,10515,95,11,46,"60-75","Pay as you go","active",55,175.65,"non-CHURN"
14,"No Complains",40,2,5898,100,36,28,"15-30","Pay as you go","active",25,431.91,"CHURN"
2,"No Complains",38,1,2920,24,10,18,"30-45","Pay as you go","active",30,157.76,"non-CHURN"
10,"No Complains",39,0,3070,43,19,20,"30-45","Pay as you go","non-active",30,200.52,"CHURN"
10,"Complains",40,0,2348,46,44,35,"30-45","Pay as you go","non-active",30,271.76,"CHURN"
1,"No Complains",40,0,213,4,10,6,"30-45","Pay as you go","non-active",30,48.68,"CHURN"
2,"No Complains",40,1,1748,27,10,10,"45-60","Pay as you go","active",45,69.375,"non-CHURN"
4,"No Complains",37,2,6865,99,24,26,"60-75","Pay as you go","active",55,140.46,"non-CHURN"
1,"Complains",40,0,708,9,19,8,"45-60","Pay as you go","non-active",45,65.425,"CHURN"
1,"No Complains",40,2,418,6,14,6,"60-75","Pay as you go","active",55,27.36,"non-CHURN"
26,"No Complains",35,4,16155,240,10,84,"15-30","Pay as you go","active",25,782.775,"non-CHURN"
7,"Complains",38,4,7045,118,281,37,"15-30","contractual","active",25,1586.835,"non-CHURN"
3,"No Complains",40,1,3798,84,12,32,"30-45","Pay as you go","active",30,203.28,"non-CHURN"
4,"No Complains",39,0,1745,46,48,24,"30-45","Pay as you go","non-active",30,263.64,"non-CHURN"
7,"No Complains",40,1,2860,55,185,27,"15-30","Pay as you go","active",25,963.675,"non-CHURN"
5,"No Complains",31,2,1395,38,203,15,"15-30","contractual","active",25,977.985,"non-CHURN"
5,"No Complains",30,1,1648,41,40,72,"45-60","Pay as you go","active",45,142.225,"non-CHURN"
12,"No Complains",31,0,780,27,20,11,"30-45","Pay as you go","non-active",30,112.28,"non-CHURN"
1,"No Complains",30,0,905,12,31,7,"45-60","Pay as you go","non-active",45,100.425,"non-CHURN"
11,"No Complains",29,1,1305,34,29,17,"15-30","Pay as you go","active",25,190.755,"non-CHURN"
3,"No Complains",29,1,3305,63,18,27,"30-45","Pay as you go","active",30,206.72,"non-CHURN"
3,"No Complains",22,1,1775,28,38,18,"15-30","Pay as you go","active",25,252.135,"non-CHURN"
17,"No Complains",21,2,6473,143,95,46,"15-30","contractual","active",25,725.22,"non-CHURN"
13,"No Complains",19,1,9013,173,83,44,"60-75","Pay as you go","active",55,262.29,"non-CHURN"
9,"No Complains",20,4,2933,47,41,23,"30-45","Pay as you go","active",30,283.2,"non-CHURN"
3,"No Complains",13,2,4470,42,225,14,"30-45","Pay as you go","active",30,1080.48,"non-CHURN"
4,"No Complains",13,2,1568,21,10,11,"30-45","Pay as you go","active",30,103.56,"CHURN"
7,"No Complains",34,0,4290,69,0,13,"15-30","Pay as you go","active",25,196.155,"non-CHURN"
0,"No Complains",35,0,0,0,0,0,"15-30","Pay as you go","non-active",25,0,"non-CHURN"
9,"No Complains",33,0,2373,58,349,20,"15-30","Pay as you go","active",25,1679.895,"non-CHURN"
9,"No Complains",34,0,4118,64,0,31,"<15","Pay as you go","active",15,230.01,"non-CHURN"
2,"No Complains",34,0,2313,56,0,29,"<15","Pay as you go","active",15,130.295,"non-CHURN"
10,"No Complains",34,0,3695,80,22,24,"30-45","Pay as you go","active",30,239,"non-CHURN"
3,"No Complains",34,0,2280,37,275,14,"30-45","Pay as you go","active",30,1192.68,"non-CHURN"
12,"No Complains",33,1,9035,119,134,39,"30-45","Pay as you go","active",30,902.16,"non-CHURN"
6,"No Complains",34,0,13693,167,0,40,"30-45","Pay as you go","active",30,554.4,"non-CHURN"
6,"No Complains",34,0,4435,81,0,21,"30-45","Pay as you go","active",30,180.64,"non-CHURN"
5,"No Complains",34,0,5838,93,0,8,"15-30","Pay as you go","active",25,266.895,"non-CHURN"
8,"No Complains",34,0,2158,52,0,13,"30-45","Pay as you go","non-active",30,88.4,"non-CHURN"
24,"No Complains",34,2,15060,223,44,28,"30-45","Pay as you go","active",30,787.32,"non-CHURN"
3,"No Complains",34,0,3015,25,473,4,"30-45","Pay as you go","active",30,2013.6,"non-CHURN"
8,"No Complains",33,0,15405,180,140,26,"15-30","Pay as you go","active",25,1331.325,"non-CHURN"
2,"No Complains",33,0,6420,84,176,22,"30-45","Pay as you go","active",30,964.16,"non-CHURN"
0,"No Complains",33,0,795,12,0,7,"15-30","Pay as you go","non-active",25,36.315,"non-CHURN"
1,"No Complains",34,0,630,12,3,4,"15-30","Pay as you go","non-active",25,42.39,"non-CHURN"
0,"No Complains",33,0,0,0,0,0,"15-30","Pay as you go","non-active",25,0,"CHURN"
2,"No Complains",33,0,7428,125,374,39,"15-30","Pay as you go","active",25,2022.885,"non-CHURN"
6,"No Complains",33,0,11385,152,1,43,"30-45","Pay as you go","active",30,465.48,"non-CHURN"
7,"No Complains",33,0,6638,73,98,33,"15-30","Pay as you go","active",25,742.995,"non-CHURN"
22,"No Complains",29,0,875,45,6,13,"15-30","Pay as you go","non-active",25,68.4,"CHURN"
20,"No Complains",32,7,10355,91,0,38,"45-60","Pay as you go","active",45,261.15,"non-CHURN"
12,"Complains",32,0,5738,96,16,20,"15-30","Pay as you go","active",25,334.53,"CHURN"
0,"No Complains",30,0,2760,20,0,10,"30-45","Pay as you go","active",30,111.2,"non-CHURN"
8,"Complains",31,0,2910,39,0,12,"30-45","Pay as you go","non-active",30,117.96,"CHURN"
8,"No Complains",32,0,2188,42,24,27,"30-45","Pay as you go","non-active",30,185.2,"CHURN"
0,"Complains",32,0,0,0,0,0,"30-45","Pay as you go","non-active",30,0,"CHURN"
0,"No Complains",32,0,1588,23,0,2,"30-45","Pay as you go","active",30,64.44,"non-CHURN"
2,"No Complains",29,0,6705,95,4,18,"45-60","Pay as you go","active",45,180,"non-CHURN"
0,"No Complains",32,0,0,0,0,0,"45-60","Pay as you go","non-active",45,0,"CHURN"
0,"No Complains",32,0,0,0,0,0,"60-75","Pay as you go","active",55,0,"non-CHURN"
24,"No Complains",27,2,15995,236,0,76,"15-30","Pay as you go","active",25,730.395,"non-CHURN"
5,"No Complains",30,2,6885,114,261,29,"15-30","contractual","active",25,1489.455,"non-CHURN"
1,"No Complains",32,0,3638,80,0,24,"15-30","Pay as you go","active",25,167.31,"non-CHURN"
2,"No Complains",31,0,1585,42,28,16,"30-45","Pay as you go","non-active",30,177.08,"non-CHURN"
5,"No Complains",32,0,2700,51,165,19,"15-30","Pay as you go","active",25,866.295,"non-CHURN"
3,"No Complains",23,0,1235,34,183,7,"15-30","contractual","active",25,880.605,"non-CHURN"
3,"No Complains",22,0,1488,37,20,64,"45-60","Pay as you go","active",45,88.125,"non-CHURN"
10,"No Complains",23,0,620,23,0,3,"15-30","Pay as you go","non-active",25,28.935,"non-CHURN"
0,"No Complains",22,0,0,0,11,0,"45-60","Pay as you go","non-active",45,27.5,"non-CHURN"
9,"No Complains",21,0,1145,30,9,9,"15-30","Pay as you go","active",25,93.375,"non-CHURN"
1,"No Complains",21,0,3145,59,0,19,"30-45","Pay as you go","active",30,128.16,"non-CHURN"
1,"No Complains",14,0,1615,24,18,10,"15-30","Pay as you go","active",25,154.755,"non-CHURN"
15,"No Complains",13,0,6313,139,75,38,"<15","contractual","active",15,767.36,"non-CHURN"
11,"No Complains",11,0,8853,169,63,36,"45-60","Pay as you go","active",45,383.05,"non-CHURN"
7,"No Complains",12,2,2773,43,21,15,"30-45","Pay as you go","active",30,196.64,"non-CHURN"
1,"No Complains",5,0,4310,38,205,6,"30-45","Pay as you go","active",30,993.92,"non-CHURN"
2,"No Complains",5,0,1408,17,0,3,"30-45","Pay as you go","active",30,57,"CHURN"
13,"No Complains",44,1,4630,81,20,23,"30-45","Pay as you go","active",30,268.44,"non-CHURN"
5,"No Complains",45,0,578,15,22,10,"30-45","Pay as you go","non-active",30,111.72,"non-CHURN"
15,"No Complains",43,1,2713,70,374,30,"30-45","Pay as you go","active",30,1607.32,"non-CHURN"
15,"No Complains",44,1,4458,76,16,41,"<15","Pay as you go","active",15,337.37,"non-CHURN"
8,"No Complains",44,1,2653,68,17,39,"15-30","Pay as you go","active",25,198.945,"non-CHURN"
16,"No Complains",44,2,4035,92,47,34,"30-45","Pay as you go","active",30,353.08,"non-CHURN"
9,"No Complains",44,1,2620,49,300,24,"30-45","Pay as you go","active",30,1306.76,"non-CHURN"
18,"No Complains",43,3,9375,131,159,49,"30-45","Pay as you go","active",30,1016.24,"non-CHURN"
12,"No Complains",44,1,14033,179,15,50,"30-45","Pay as you go","active",30,628.48,"non-CHURN"
12,"No Complains",44,2,4775,93,17,31,"30-45","Pay as you go","active",30,262.72,"non-CHURN"
11,"No Complains",44,1,6178,105,22,18,"30-45","Pay as you go","active",30,339.32,"non-CHURN"
14,"Complains",44,0,2498,64,23,23,"30-45","Pay as you go","non-active",30,194.48,"non-CHURN"
30,"No Complains",44,4,15400,235,69,38,"30-45","Pay as you go","active",30,901.4,"non-CHURN"
9,"No Complains",44,2,3355,37,498,14,"30-45","Pay as you go","active",30,2127.68,"non-CHURN"
14,"No Complains",43,1,15745,192,165,36,"15-30","Pay as you go","active",25,1459.665,"non-CHURN"
8,"No Complains",43,2,6760,96,201,32,"30-45","Pay as you go","active",30,1078.24,"non-CHURN"
5,"No Complains",43,0,1135,24,15,17,"15-30","Pay as you go","non-active",25,119.655,"non-CHURN"
7,"No Complains",44,0,970,24,28,14,"30-45","Pay as you go","non-active",30,151.76,"non-CHURN"
5,"No Complains",43,0,260,10,15,6,"15-30","Pay as you go","non-active",25,79.65,"CHURN"
8,"No Complains",43,1,7768,137,399,49,"30-45","Pay as you go","active",30,1912.2,"non-CHURN"
12,"No Complains",43,2,11725,164,26,53,"45-60","Pay as you go","active",45,362.225,"non-CHURN"
13,"No Complains",43,2,6978,85,123,43,"15-30","Pay as you go","active",25,871.335,"non-CHURN"
28,"Complains",39,0,1215,57,31,23,"30-45","Pay as you go","non-active",30,174.88,"CHURN"
26,"No Complains",42,9,10695,103,16,48,"60-75","contractual","active",55,185.97,"non-CHURN"
18,"No Complains",42,2,6078,108,41,30,"15-30","Pay as you go","active",25,462.87,"non-CHURN"
6,"No Complains",40,1,3100,32,15,20,"30-45","Pay as you go","active",30,185.28,"non-CHURN"
14,"Complains",41,0,3250,51,24,22,"30-45","Pay as you go","non-active",30,228.04,"CHURN"
14,"Complains",42,0,2528,54,49,37,"45-60","Pay as you go","non-active",45,187.05,"CHURN"
